순위,도서명,저자,출판사,정가,판매가
266,7가지 생성 AI로 영상 제작&편집하기 with 챗GPT&미드저니&런웨이,홍순성,한빛미디어,25000,22500
267,클로드 디자인 시작하기,조남경,비엘북스,25000,22500
268,2026 독공 전산세무 1급,공경태 외,박문각,39000,35100
269,그림으로 배우는 생성형 AI,프리양카 베르가디아 외,한빛미디어,33000,29700
270,2026 시나공 빅데이터분석기사 실기 Python,김태헌,길벗,32000,28800
271,네이버 블로그 첫걸음,전진수,혜지원,17000,15300
272,앗싸 나도 되네! 오늘부터 바로 써먹는 AI 보험영업 활용법,조대수,재노북스,28000,25200
273,시나공 ITQ OA Master,길벗알앤디,길벗,30000,27000
274,요즘 직장인을 위한 실무 보고서 작성 비법,김태영,시프트,20000,18000
275,SQL TUNER for PostgreSQL,유일환,디비안(주)(DBian),39000,35100
276,된다! 피그마 디자인 10분 레시피,하이서 외,이지스퍼블리싱,28000,25200
277,QA를 넘어 개발자도 알아야 할 AI 에이전트 품질 가이드,정상미 외,프리렉,28000,25200
278,AI 자율학습 클로드 코드·코덱스 CLI·제미나이 CLI 완전 활용법,Dave Lee,길벗,32000,28800
279,2026 시나공 프로그래밍기능사 실기 기본서,길벗알앤디,길벗,21000,18900
280,2026 이기적 컴퓨터그래픽기능사 필기 절대족보,김부치,영진닷컴,20000,18000
281,<소문난 명강의> 유리링의 실전 게임 시스템 기획,정윤지,한빛미디어,25000,22500
282,직장인을 위한 AI 실무 엑셀,선양미,길벗,25000,22500
283,수노SUNO로 시작하는 AI 작곡,강성우 외,제이펍,20000,18000
284,소프트웨어 아키텍처 The Basics,마크 리처즈 외,한빛미디어,43000,38700
285,스케치업&엔스케이프 트레이닝 북,강석창,한빛미디어,32000,28800
286,2026 이기적 GTQ 포토샵 1급 기본서 ver. CC,일마,영진닷컴,24000,21600
287,AI 광고 제작,문수민 외,길벗,27000,24300
288,시노비가미 유파북 오니의 혈통,카와시마 토이치로 외,티알피지클럽(TRPG CLUB),20000,20000
289,2026 이기적 워드프로세서 실기 기본서 ver. 한글2022,송재현 외,영진닷컴,18000,16200
290,2026 시대에듀 유선배 데이터분석 준전문가 ADsP 합격노트,정미나,시대고시기획,28000,25200
291,PostgreSQL DBA를 위한 Admin 이야기,김시연 외,디비안(주)(DBian),29000,26100
292,2026 에듀윌 컴퓨터활용능력 1급 필기 초단기끝장,문혜영 외,에듀윌,22000,19800
293,생성형 AI를 위한 프롬프트 엔지니어링,제임스 피닉스 외,한빛미디어,38000,34200
294,소프트웨어 공학의 모든 것,최은만,생능출판,35000,35000
295,"AGI의 시대: 인간을 초월한 인공지능, AGI를 논하다",한상기,한빛미디어,22000,19800
296,누구나 아는 나만 모르는 엑셀,누나IT(이성원),한빛미디어,17000,15300
297,AI 영화 제작,민지영 외,길벗,27000,24300
298,밑바닥부터 시작하는 딥러닝 5,사이토 고키 외,한빛미디어,33000,29700
299,이것이 취업을 위한 컴퓨터 과학이다 with CS 기술 면접,강민철,한빛미디어,36000,32400
300,Do it! 5일 만에 끝내는 깃&깃허브 입문,고경희 외,이지스퍼블리싱,18000,16200
